"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"212","F2","McPc","CD","Both",16,"male",2.45,7.251976302,9.503046933,21.80593839,2.57,37.16331794,NA,NA
"213","F2","McPc","CD","Both",17,"male",2.86,5.255915524,8.753837385,12.47033742,2.44,36.82506128,NA,NA
"214","F2","McPc","CD","Both",18,"male",2.45,7.195922975,8.459922914,13.04152863,2.6,34.93709366,NA,NA
"215","F2","McPc","CD","Both",19,"male",2.48,10.24484264,10.32786235,18.50090934,2.71,33.91908968,NA,NA
"216","F2","McPc","CD","Both",20,"male",2.53,5.271907216,9.976319734,10.7502886,2.51,26.54286902,NA,NA
"217","F2","McPc","CD","Both",21,"male",2.55,8.081680907,11.54974069,17.50350635,2.31,41.09045072,NA,NA
"218","F2","McPc","CD","Both",22,"male",2.61,4.797041458,11.89980483,14.43259939,2.61,52.15159093,NA,NA
"219","F2","McPc","CD","Both",23,"male",2.7,7.418568988,7.940070162,22.34405702,2.63,26.44646112,NA,NA
"220","F2","McPc","CD","Both",24,"male",2.59,5.367811172,9.458811952,11.53620788,2.57,35.52758713,NA,NA
"221","F2","MhPc","HSD","Maternal",1,"male",2.26,9.836419183,22.77402258,12.21077547,2.47,9.658894892,NA,NA
"222","F2","MhPc","HSD","Maternal",2,"male",2.83,11.48313932,18.95984063,22.23711406,2.6,14.81010328,NA,NA
"223","F2","MhPc","HSD","Maternal",3,"male",2.49,11.1296529,13.19324421,39.4376982,2.46,15.09270889,NA,NA
"224","F2","MhPc","HSD","Maternal",4,"male",2.54,9.002649854,18.20438491,28.27771589,2.47,12.15356861,NA,NA
"225","F2","MhPc","HSD","Maternal",5,"male",2.6,12.32070816,8.574177792,18.97515464,2.62,13.74691097,NA,NA
"226","F2","MhPc","HSD","Maternal",6,"male",2.79,10.95798686,15.37420313,24.08365413,2.44,13.74691097,NA,NA
"227","F2","MhPc","HSD","Maternal",7,"male",2.57,14.3432895,18.40652958,27.42911471,1.99,17.24986541,NA,NA
