"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"59","CrossesMnPc",6.2041528192288,3.24083889423433,1.91436631739591,0.0571334721959857,"F2","TAG","NSD","male","Maternal",0.157117048538961," ",0.190752076525307," "
"60","CrossesMcPn",6.04031794053548,3.26636555597688,1.84924737817013,0.0660350703547531,"F2","TAG","NSD","male","Paternal",0.174332585736548," ",0.210296300975906," "
"61","CrossesMnPn",2.92006242038741,2.67527802224443,1.09149867643947,0.276190643104157,"F3","TAG","NSD","male","Parental",0.48394466667808," ",0.608207054495324," "
"62","CrossesMnPc",1.24882528924403,2.6596946484828,0.469537091393712,0.639128678944401,"F3","TAG","NSD","male","Maternal",0.795235146210152," ",0.979274604144311," "
"63","CrossesMcPn",2.59373846947358,2.65999037248739,0.975093179396791,0.330534043163776,"F3","TAG","NSD","male","Paternal",0.564187418503686," ",0.694624841978696," "
"64","CrossesMnPn",-4.63400351543967,1.67741353215281,-2.76258860836323,0.00632002948070285,"F1","Glycogen","NSD","male","Parental",0.0245365850427287,"*",0.0344275290133024,"*"
"65","CrossesMnPc",0.454591238339343,1.68370928884722,0.269993900580418,0.787469171884045,"F1","Glycogen","NSD","male","Maternal",0.875948854118207," ",0.999986154515138," "
"66","CrossesMcPn",4.51089100119136,1.68288210220288,2.68045574629776,0.00802351236258916,"F1","Glycogen","NSD","male","Paternal",0.028884644505321,"*",0.0395444537870466,"*"
"67","CrossesMnPn",9.69611614953025,2.22484932691304,4.35810013390144,2.18388026627676e-05,"F2","Glycogen","NSD","male","Parental",0.000160151219526963,"***",0.000226031607559645,"***"
"68","CrossesMnPc",9.07379065289429,2.22253468466745,4.08263174270865,6.64702425331623e-05,"F2","Glycogen","NSD","male","Maternal",0.000424551871663423,"***",0.000625424554743845,"***"
"69","CrossesMcPn",23.0354007785654,2.22279508600222,10.3632588193253,4.29225036103096e-20,"F2","Glycogen","NSD","male","Paternal",4.24932785742065e-18,"***",2.53855949923831e-18,"***"
"70","CrossesMnPn",-2.05093846436467,1.75648502212682,-1.16763788960825,0.244156649295089,"F3","Glycogen","NSD","male","Parental",0.43948196873116," ",0.558457750321363," "
"71","CrossesMnPc",-0.132314705344775,1.75059677163756,-0.0755826284433298,0.939816573765423,"F3","Glycogen","NSD","male","Maternal",0.975568575776091," ",0.999986154515138," "
"72","CrossesMcPn",-0.739193669181466,1.75615782569079,-0.420915283562684,0.674208286632747,"F3","Glycogen","NSD","male","Paternal",0.810582332640423," ",0.986204225426628," "
"73","CrossesMnPn",1.69672902737147,2.37439268439222,0.714594952437611,0.475769923313159,"F1","Trehalose","NSD","male","Parental",0.677715430330975," ",0.849003225222621," "
"74","CrossesMnPc",0.660644375395849,2.38330437989926,0.277196811690404,0.781941859138641,"F1","Trehalose","NSD","male","Maternal",0.875948854118207," ",0.999986154515138," "
"75","CrossesMcPn",-0.352749261732683,2.38213349038436,-0.14808123186907,0.882441697271011,"F1","Trehalose","NSD","male","Paternal",0.939373419675593," ",0.999986154515138," "
"76","CrossesMnPn",7.49528080662392,1.2380971545594,6.05387128063567,7.83269578845055e-09,"F2","Trehalose","NSD","male","Parental",2.2155339515903e-07,"***",2.31624004029895e-07,"***"
"77","CrossesMnPc",6.49682655721524,1.23680908891675,5.25289360778021,4.13271646310262e-07,"F2","Trehalose","NSD","male","Maternal",5.2630180522565e-06,"***",6.77199525605032e-06,"***"
"78","CrossesMcPn",5.77793485400249,1.2369539985732,4.67109921684009,5.78621459799871e-06,"F2","Trehalose","NSD","male","Paternal",5.20759313819884e-05,"***",7.0455671869749e-05,"***"
"79","CrossesMnPn",1.45645740849259,1.23861486389011,1.17587593282896,0.24085490047179,"F3","Trehalose","NSD","male","Parental",0.437516241223986," ",0.557061054722465," "
